i,e,g,cos_g,w,b,c,cos_i,cos_e,p_g,K,gamma,r0,cos_i_k,cos_e_k,h_mu_0,h_mu,refl,wave
10,85,-75,0.2588190451,0.82,0.8,0.2,0.984807753,0.08715574275,1.127151426,1.114818361,0.4242640687,0.4042339788,0.8833795594,0.2054280557,1.59029529,1.238202818,0.1422568421,0.7
15,85,-70,0.3420201433,0.82,0.8,0.2,0.9659258263,0.08715574275,1.208709448,1.114818361,0.4242640687,0.4042339788,0.8664423368,0.2054280557,1.58441054,1.238202818,0.149938133,0.7
20,85,-65,0.4226182617,0.82,0.8,0.2,0.9396926208,0.08715574275,1.291676468,1.114818361,0.4242640687,0.4042339788,0.8429109649,0.2054280557,1.576075697,1.238202818,0.1589152221,0.7
25,85,-60,0.5,0.82,0.8,0.2,0.906307787,0.08715574275,1.375,1.114818361,0.4242640687,0.4042339788,0.8129645316,0.2054280557,1.565191323,1.238202818,0.1693699569,0.7
30,85,-55,0.5735764364,0.82,0.8,0.2,0.8660254038,0.08715574275,1.457558128,1.114818361,0.4242640687,0.4042339788,0.7768309473,0.2054280557,1.551624648,1.238202818,0.1815464243,0.7
35,85,-50,0.6427876097,0.82,0.8,0.2,0.8191520443,0.08715574275,1.538182861,1.114818361,0.4242640687,0.4042339788,0.7347852104,0.2054280557,1.53520532,1.238202818,0.1957754182,0.7
40,85,-45,0.7071067812,0.82,0.8,0.2,0.7660444431,0.08715574275,1.615685425,1.114818361,0.4242640687,0.4042339788,0.6871473144,0.2054280557,1.515719447,1.238202818,0.2125123799,0.7
45,85,-40,0.7660444431,0.82,0.8,0.2,0.7071067812,0.08715574275,1.688882781,1.114818361,0.4242640687,0.4042339788,0.6342798124,0.2054280557,1.492901192,1.238202818,0.2323980615,0.7
45,80,-35,0.8191520443,0.82,0.8,0.2,0.7071067812,0.1736481777,1.756624657,1.114818361,0.4242640687,0.4042339788,0.6342798124,0.4092926799,1.492901192,1.378351179,0.2324522247,0.7
45,75,-30,0.8660254038,0.82,0.8,0.2,0.7071067812,0.2588190451,1.817820323,1.114818361,0.4242640687,0.4042339788,0.6342798124,0.6100423396,1.492901192,1.481987382,0.2282166052,0.7
45,70,-25,0.906307787,0.82,0.8,0.2,0.7071067812,0.3420201433,1.871464371,1.114818361,0.4242640687,0.4042339788,0.6342798124,0.8061492088,1.492901192,1.562669441,0.2221894689,0.7
45,65,-20,0.9396926208,0.82,0.8,0.2,0.7071067812,0.4226182617,1.916660763,1.114818361,0.4242640687,0.4042339788,0.6342798124,0.9961207958,1.492901192,1.627203992,0.2154518994,0.7
45,60,-15,0.9659258263,0.82,0.8,0.2,0.7071067812,0.5,1.952644472,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.178511302,1.492901192,1.679709114,0.2085327114,0.7
45,55,-10,0.984807753,0.82,0.8,0.2,0.7071067812,0.5735764364,1.978800096,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.351932626,1.492901192,1.722909616,0.2017014314,0.7
45,50,-5,0.9961946981,0.82,0.8,0.2,0.7071067812,0.6427876097,1.994676921,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.515064926,1.492901192,1.758706558,0.1950954418,0.7
45,48,-3,0.9986295348,0.82,0.8,0.2,0.7071067812,0.6691306064,1.998081912,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.577155964,1.492901192,1.771273369,0.1925327192,0.7
45,43,2,0.999390827,0.82,0.8,0.2,0.7071067812,0.7313537016,1.999147269,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.723817206,1.492901192,1.798929116,0.1863462423,0.7
45,40,5,0.9961946981,0.82,0.8,0.2,0.7071067812,0.7660444431,1.994676921,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.805584068,1.492901192,1.813227667,0.1827913917,0.7
45,35,10,0.984807753,0.82,0.8,0.2,0.7071067812,0.8191520443,1.978800096,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.930759884,1.492901192,1.833734556,0.1771334463,0.7
45,30,15,0.9659258263,0.82,0.8,0.2,0.7071067812,0.8660254038,1.952644472,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.041241452,1.492901192,1.850576806,0.1718087541,0.7
45,25,20,0.9396926208,0.82,0.8,0.2,0.7071067812,0.906307787,1.916660763,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.13618794,1.492901192,1.864199419,0.1668137061,0.7
45,20,25,0.906307787,0.82,0.8,0.2,0.7071067812,0.9396926208,1.871464371,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.214876748,1.492901192,1.874941075,0.1621438429,0.7
45,15,30,0.8660254038,0.82,0.8,0.2,0.7071067812,0.9659258263,1.817820323,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.276709006,1.492901192,1.883055808,0.1577956583,0.7
45,10,35,0.8191520443,0.82,0.8,0.2,0.7071067812,0.984807753,1.756624657,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.321214134,1.492901192,1.888728088,0.1537675631,0.7
45,5,40,0.7660444431,0.82,0.8,0.2,0.7071067812,0.9961946981,1.688882781,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.348053421,1.492901192,1.89208312,0.1500603406,0.7
45,0,45,0.7071067812,0.82,0.8,0.2,0.7071067812,1,1.615685425,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.357022604,1.492901192,1.893193529,0.1466772867,0.7
45,-5,50,0.6427876097,0.82,0.8,0.2,0.7071067812,0.9961946981,1.538182861,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.348053421,1.492901192,1.89208312,0.1436241395,0.7
45,-10,55,0.5735764364,0.82,0.8,0.2,0.7071067812,0.984807753,1.457558128,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.321214134,1.492901192,1.888728088,0.1409088502,0.7
45,-15,60,0.5,0.82,0.8,0.2,0.7071067812,0.9659258263,1.375,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.276709006,1.492901192,1.883055808,0.1385412025,0.7
45,-20,65,0.4226182617,0.82,0.8,0.2,0.7071067812,0.9396926208,1.291676468,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.214876748,1.492901192,1.874941075,0.1365322519,0.7
45,-25,70,0.3420201433,0.82,0.8,0.2,0.7071067812,0.906307787,1.208709448,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.13618794,1.492901192,1.864199419,0.1348935118,0.7
45,-30,75,0.2588190451,0.82,0.8,0.2,0.7071067812,0.8660254038,1.127151426,1.114818361,0.4242640687,0.4042339788,0.6342798124,2.041241452,1.492901192,1.850576806,0.1336357524,0.7
45,-35,80,0.1736481777,0.82,0.8,0.2,0.7071067812,0.8191520443,1.047964649,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.930759884,1.492901192,1.833734556,0.1327671849,0.7
45,-40,85,0.08715574275,0.82,0.8,0.2,0.7071067812,0.7660444431,0.9720034312,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.805584068,1.492901192,1.813227667,0.1322906478,0.7
45,-55,100,-0.1736481777,0.82,0.8,0.2,0.7071067812,0.5735764364,0.7701275647,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.351932626,1.492901192,1.722909616,0.1330459776,0.7
45,-60,105,-0.2588190451,0.82,0.8,0.2,0.7071067812,0.5,0.7130409534,1.114818361,0.4242640687,0.4042339788,0.6342798124,1.178511302,1.492901192,1.679709114,0.133828477,0.7
45,-65,110,-0.3420201433,0.82,0.8,0.2,0.7071067812,0.4226182617,0.6614772189,1.114818361,0.4242640687,0.4042339788,0.6342798124,0.9961207958,1.492901192,1.627203992,0.1346274807,0.7
45,-70,115,-0.4226182617,0.82,0.8,0.2,0.7071067812,0.3420201433,0.6154872492,1.114818361,0.4242640687,0.4042339788,0.6342798124,0.8061492088,1.492901192,1.562669441,0.1351007695,0.7
45,-75,120,-0.5,0.82,0.8,0.2,0.7071067812,0.2588190451,0.575,1.114818361,0.4242640687,0.4042339788,0.6342798124,0.6100423396,1.492901192,1.481987382,0.1346172888,0.7
45,-80,125,-0.5735764364,0.82,0.8,0.2,0.7071067812,0.1736481777,0.5398358294,1.114818361,0.4242640687,0.4042339788,0.6342798124,0.4092926799,1.492901192,1.378351179,0.131951724,0.7
45,-85,130,-0.6427876097,0.82,0.8,0.2,0.7071067812,0.08715574275,0.5097226856,1.114818361,0.4242640687,0.4042339788,0.6342798124,0.2054280557,1.492901192,1.238202818,0.1243997885,0.7
50,-85,135,-0.7071067812,0.82,0.8,0.2,0.6427876097,0.08715574275,0.4843145751,1.114818361,0.4242640687,0.4042339788,0.5765850581,0.2054280557,1.46642068,1.238202818,0.1295614893,0.7
55,-85,140,-0.7660444431,0.82,0.8,0.2,0.5735764364,0.08715574275,0.4632116722,1.114818361,0.4242640687,0.4042339788,0.5145021433,0.2054280557,1.435865951,1.238202818,0.136644185,0.7
60,-85,145,-0.8191520443,0.82,0.8,0.2,0.5,0.08715574275,0.4459813861,1.114818361,0.4242640687,0.4042339788,0.4485035565,0.2054280557,1.400714597,1.238202818,0.1462398237,0.7
65,-85,150,-0.8660254038,0.82,0.8,0.2,0.4226182617,0.08715574275,0.432179677,1.114818361,0.4242640687,0.4042339788,0.3790915869,0.2054280557,1.360286067,1.238202818,0.1593254494,0.7
70,-85,155,-0.906307787,0.82,0.8,0.2,0.3420201433,0.08715574275,0.4213719118,1.114818361,0.4242640687,0.4042339788,0.3067945014,0.2054280557,1.31365378,1.238202818,0.1776273877,0.7